Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2675443,IJ-120,SA07010,1461,10,0,7,PC,N146/9,4.666,90528,1853,0,294,318.77700000000027,281
2675993,IJ-120,SA01742,372,8,0,3,PC,N146/9,2.04,90900,1861,0,297,320.8170000000003,279
2675993,IJ-120,SA01742,1538,10,0,5,PC,N146/9,4.28,92438,1871,0,302,325.09700000000026,278
2676040,IJ-120,SA01861,1404,5,0,3,PC,N148/18,4.0649999999999995,93842,1876,0,305,329.16200000000026,277
2676083,IJ-120,13444,1595,17,0,3,PC,N148/18,1.678,95437,1893,0,308,330.84000000000026,276
2676083,IJ-120,13444,1264,131,0,5,PC,N148/18,5.436,96701,2024,0,313,336.27600000000024,275
2676082,IJ-120,SA00995,1513,17,0,5,PC,N148/18,2.14,98214,2041,0,318,338.4160000000002,274
2675706,IJ-120,SA01764,871,13,0,2,PC,N148/18,1.06,99085,2054,0,320,339.4760000000002,273
2675706,IJ-120,SA01764,46,0,0,1,PC,N148/18,0.53,99131,2054,0,321,340.0060000000002,272
2675706,IJ-120,SA01764,2317,29,0,3,PC,N148/18,1.59,101448,2083,0,324,341.5960000000002,271
2675706,IJ-120,SA01764,1316,25,0,3,PC,N148/18,1.59,102764,2108,0,327,343.18600000000015,270
2676472,IJ-120,SA01923,1514,10,0,3,PC,N148/18,4.62,104278,2118,0,330,347.80600000000015,269
2676472,IJ-120,SA01923,1101,52,0,3,PC,N148/18,4.62,105379,2170,0,333,352.42600000000016,268
2676930,IJ-120,SA02008,813,29,0,3,PC,N148/18,2.26,106192,2199,0,336,354.68600000000015,267
2676930,IJ-120,SA02008,247,2,0,1,PC,N148/18,0.36,106439,2201,0,337,355.04600000000016,265
2676930,IJ-120,SA02008,3,0,0,1,PC,N148/18,0.36,106442,2201,0,338,355.4060000000002,264
2677525,IJ-120,SA00911,459,9,0,2,PC,N148/18,1.8,106901,2210,0,340,357.2060000000002,261
2677525,IJ-120,SA00911,2,0,0,1,PC,N148/18,0.9,106903,2210,0,341,358.10600000000017,260
2677525,IJ-120,SA00911,397,8,0,3,PC,N148/18,2.7,107300,2218,0,344,360.80600000000015,258
2677525,IJ-120,SA00911,1646,7,0,6,PC,N148/18,3.16,108946,2225,0,350,363.9660000000002,257
2677575,IJ-120,SA01422,1478,3,0,4,PC,N148/18,2.963,110424,2228,0,354,366.9290000000002,256
2677575,IJ-120,SA01422,338,4,0,2,PC,N148/18,1.674,110762,2232,0,356,368.6030000000002,255
2677230,IJ-120,SA03682,1520,11,0,5,PC,N148/18,8.687999999999999,112282,2243,0,361,377.29100000000017,254
2677479,IJ-120,SA01918,1356,16,0,6,PC,N148/18,13.1,113638,2259,0,367,390.3910000000002,253
2677818,IJ-120,SA05339,174,8,0,3,PC,N148/18,1.56,113812,2267,0,370,391.9510000000002,251
2677873,IJ-120,SA01980,1320,28,0,6,PC,N148/18,6.0,115132,2295,0,376,397.9510000000002,250
2677907,IJ-120,SA07686,1030,25,0,3,PC,N-142/67,4.26,116162,2320,0,379,402.2110000000002,249
2677907,IJ-120,SA07686,1446,3,0,3,PC,N-142/67,4.65,117608,2323,0,382,406.86100000000016,248
2678013,IJ-120,SA08399,637,17,0,3,PC,N-142/67,5.43,118245,2340,0,385,412.29100000000017,247
2678064,IJ-120,SA00946,1329,28,0,4,PC,N148/18,6.405,119574,2368,0,389,418.69600000000014,246
2678064,IJ-120,SA00946,435,35,0,1,PC,N148/18,0.975,120009,2403,0,390,419.67100000000016,245
2678064,IJ-120,SA00946,204,19,0,3,PC,N148/18,4.14,120213,2422,0,393,423.81100000000015,244
2677307,IJ-120,SA07321,1393,8,0,4,PC,N148/18,8.18,121606,2430,0,397,431.99100000000016,243
2676693,IJ-120,SA08469,1189,9,0,4,PC,N-142/67,10.81,122795,2439,0,401,442.80100000000016,242
2676648,IJ-120,SA01923,1355,42,0,5,PC,N148/18,11.629999999999999,124150,2481,0,406,454.43100000000015,241
2676648,IJ-120,SA01923,1339,1,0,3,PC,N148/18,4.62,125489,2482,0,409,459.05100000000016,240
2676648,IJ-120,SA01923,1597,15,0,5,PC,N148/18,4.99,127086,2497,0,414,464.04100000000017,239
2678424,IJ-120,SA02371,234,4,0,2,PC,N148/18,0.37,127320,2501,0,416,464.4110000000002,237
2678424,IJ-120,SA02371,1280,22,0,5,PC,N148/18,4.952999999999999,128600,2523,0,421,469.36400000000015,236
2678588,IJ-120,SA00228,1526,18,0,3,PC,N148/18,3.524,130126,2541,0,424,472.88800000000015,235
2679025,IJ-120,SA08395,1163,18,0,5,PC,N-142/67,12.076,131289,2559,0,429,484.96400000000017,234
2679025,IJ-120,SA08395,1252,6,0,3,PC,N-142/67,8.607000000000001,132541,2565,0,432,493.5710000000002,233
2678519,IJ-120,SA00913,1824,22,0,6,PC,N148/18,8.806000000000001,134365,2587,0,438,502.3770000000002,232
2679181,IJ-120,SA02374,962,14,0,2,PC,N148/18,0.596,135327,2601,0,440,502.9730000000002,231
2679181,IJ-120,SA02374,310,7,0,3,PC,N148/18,0.8939999999999999,135637,2608,0,443,503.8670000000002,230
2679181,IJ-120,SA02374,1647,30,0,3,PC,N148/18,0.8939999999999999,137284,2638,0,446,504.7610000000002,229
2679181,IJ-120,SA02374,1581,16,0,3,PC,N148/18,0.8939999999999999,138865,2654,0,449,505.6550000000002,228
2679181,IJ-120,SA02374,1651,8,0,3,PC,N148/18,0.8939999999999999,140516,2662,0,452,506.5490000000002,227
2679181,IJ-120,SA02374,1669,9,0,3,PC,N148/18,0.8939999999999999,142185,2671,0,455,507.4430000000002,226
2679181,IJ-120,SA02374,1670,0,0,3,PC,N148/18,0.8939999999999999,143855,2671,0,458,508.3370000000002,225
2679181,IJ-120,SA02374,314,15,0,2,PC,N148/18,0.596,144169,2686,0,460,508.9330000000002,223
2678517,IJ-120,SA07395,1152,52,0,4,PC,N148/18,4.078,145321,2738,0,464,513.0110000000002,222
2678517,IJ-120,SA07395,1142,75,0,5,PC,N148/18,3.04,146463,2813,0,469,516.0510000000002,221
2679657,IJ-120,SA01556,1017,20,0,4,PC,N148/18,3.145,147480,2833,0,473,519.1960000000001,220
2679752,IJ-120,SA08399,1515,47,0,3,PC,N-142/67,5.43,148995,2880,0,476,524.6260000000001,219
2679673,IJ-120,SA02008,1601,0,0,4,PC,N148/18,2.89,150596,2880,0,480,527.5160000000001,218
2679673,IJ-120,SA02008,176,8,0,2,PC,N148/18,0.72,150772,2888,0,482,528.2360000000001,216
2679673,IJ-120,SA02008,1130,38,0,3,PC,N148/18,1.08,151902,2926,0,485,529.3160000000001,215
2679295,IJ-120,SA02376,1307,43,0,4,PC,N148/18,1.718,153209,2969,0,489,531.0340000000001,214
2679295,IJ-120,SA02376,1176,41,0,4,PC,N148/18,2.6660000000000004,154385,3010,0,493,533.7000000000002,213
2680035,IJ-120,SA00880,1265,30,0,4,PC,N148/18,3.141,155650,3040,0,497,536.8410000000001,212
2679894,IJ-120,SA00913,1451,16,0,4,PC,N148/18,4.944,157101,3056,0,501,541.7850000000001,211
2679894,IJ-120,SA00913,467,0,0,1,PC,N148/18,1.236,157568,3056,0,502,543.0210000000001,210
2679894,IJ-120,SA00913,378,2,0,3,PC,N148/18,3.708,157946,3058,0,505,546.729,209
2679894,IJ-120,SA00913,1480,21,0,4,PC,N148/18,2.616,159426,3079,0,509,549.345,208
2680268,IJ-120,SA00049,1423,24,0,3,PC,N-142/67,1.3800000000000001,160849,3103,0,512,550.725,207
2680268,IJ-120,SA00049,1284,25,0,4,PC,N-142/67,2.64,162133,3128,0,516,553.365,206
2680709,IJ-120,SA07395,922,65,0,4,PC,N148/18,3.41,163055,3193,0,520,556.775,205
2680834,IJ-120,SA01556,1586,29,0,3,PC,N148/18,1.335,164641,3222,0,523,558.11,204
2680834,IJ-120,SA01556,45,0,0,1,PC,N148/18,0.445,164686,3222,0,524,558.5550000000001,203
2680834,IJ-120,SA01556,445,6,0,3,PC,N148/18,1.335,165131,3228,0,527,559.8900000000001,202
2680834,IJ-120,SA01556,1089,14,0,5,PC,N148/18,4.61,166220,3242,0,532,564.5000000000001,201
2680709,IJ-120,SA07395,1414,8,0,3,PC,N148/18,3.7800000000000002,167634,3250,0,535,568.2800000000001,200
2680709,IJ-120,SA07395,1156,55,0,3,PC,N148/18,3.7800000000000002,168790,3305,0,538,572.0600000000001,199
2680385,IJ-120,SA02693,979,18,0,4,PC,N148/18,4.859999999999999,169769,3323,0,542,576.9200000000001,198
2680385,IJ-120,SA02693,1258,48,0,3,PC,N148/18,3.5999999999999996,171027,3371,0,545,580.5200000000001,197
2680385,IJ-120,SA02693,749,20,0,2,PC,N148/18,2.4,171776,3391,0,547,582.9200000000001,196
2680385,IJ-120,SA02693,245,3,0,3,PC,N148/18,5.27,172021,3394,0,550,588.19,195
2681432,IJ-120,SA00497,1454,21,0,4,PC,N148/18,7.1240000000000006,173475,3415,0,554,595.3140000000001,194
2681480,IJ-120,SA07010,1442,19,0,6,PC,N146/9,7.732,174917,3434,0,560,603.046,193
2681604,IJ-120,SA00618,1409,22,0,4,PC,N148/18,4.98,176326,3456,0,564,608.0260000000001,192
